20 163 
0 19 13
0 12 37
0 7 95
0 3 45
0 6 102
0 2 78
0 4 72
0 11 33
0 8 112
0 9 290
0 13 56
0 14 102
0 16 24
0 5 52
0 17 150
0 1 111
0 18 138
0 10 60
1 4 11
1 10 38
1 7 52
1 9 34
1 8 53
2 11 18
2 18 52
2 1 25
2 10 24
2 7 120
2 9 138
2 4 60
2 6 35
2 8 20
2 17 33
3 5 18
3 9 220
3 16 32
3 11 36
3 14 16
3 7 196
3 2 34
3 6 106
3 8 162
3 10 120
3 4 36
3 17 112
3 18 76
3 1 76
4 9 34
4 7 40
5 17 21
5 10 30
5 9 132
5 4 52
5 18 41
5 8 90
5 6 32
5 1 24
5 11 52
5 7 30
6 8 51
6 4 49
6 7 28
6 9 24
6 10 41
8 9 42
8 7 50
10 7 42
10 9 40
11 8 17
11 9 92
11 10 56
11 7 100
11 4 32
12 16 12
12 2 11
12 7 100
12 14 16
12 6 86
12 11 20
12 18 80
12 17 94
12 8 45
12 5 24
12 10 123
12 9 128
12 4 135
12 1 84
13 1 66
13 9 80
13 4 126
13 6 80
13 18 44
13 7 204
13 8 90
13 2 17
13 11 80
13 16 53
13 5 21
13 10 75
13 14 21
13 17 90
14 1 30
14 18 19
14 8 98
14 17 10
14 7 90
14 4 70
14 10 36
14 6 13
14 9 162
14 11 39
15 13 20
15 3 10
15 2 56
15 10 184
15 6 72
15 7 270
15 9 75
15 17 78
15 19 36
15 16 68
15 4 168
15 1 78
15 18 111
15 12 51
15 11 69
15 14 96
15 8 116
15 5 62
16 6 37
16 8 26
16 11 24
16 17 19
16 9 165
16 4 96
16 18 31
16 7 126
16 10 54
16 1 35
17 9 106
17 8 56
17 4 20
17 7 88
17 10 19
18 10 36
18 7 96
18 4 57
18 8 53
18 9 40
19 14 13
19 18 50
19 7 196
19 5 13
19 11 88
19 8 144
19 6 74
19 9 192
19 10 168
19 1 112
19 16 39
19 2 15
19 4 48
19 17 92
